Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"129649","13:24:32.82"
"0051" TT,"5379",""
"0052" TT,"1400",""
"0053" TT,"2540",""
"0054" TT,"1594",""
"0055" TT,"47683",""
"0056" TT,"306849",""
"0050" TT,"129649","13:24:32.82"
"0057" TT,"2413",""
"0051" TT,"5379",""
"0058" TT,"600",""
"0052" TT,"1400",""
"0059" TT,"254",""
"0053" TT,"2540",""
"0061" TT,"1519506",""
"0054" TT,"1594",""
"006201" TT,"9829",""
"0055" TT,"47683",""
"006203" TT,"393",""
"0056" TT,"306849",""
"006204" TT,"1013",""
"0057" TT,"2413",""
"0058" TT,"600",""
"006205" TT,"1624563",""
"0059" TT,"254",""
"006206" TT,"452651",""
"0061" TT,"1519506",""
"006207" TT,"631786",""
"006201" TT,"9829",""
"006208" TT,"486",""
"006203" TT,"393",""
"00631L" TT,"1403165",""
"006204" TT,"1013",""
"006205" TT,"1624563",""
"00632R" TT,"15056384","08:33:17.17"
"006206" TT,"452651",""
"00633L" TT,"17406748",""
"006207" TT,"631786",""
"00634R" TT,"1163688",""
"006208" TT,"486",""
"00635U" TT,"108098",""
"00631L" TT,"1403165",""
"00636" TT,"302853",""
"00632R" TT,"15056384","08:33:17.17"
"00637L" TT,"24045515",""
"00633L" TT,"17406748",""
"00638R" TT,"347846",""
"00634R" TT,"1163688",""
"00639" TT,"862134",""
"00635U" TT,"108098",""
"00640L" TT,"3427305",""
"00636" TT,"302853",""
"00641R" TT,"790100",""
"00637L" TT,"24045515",""
"00642U" TT,"5601932",""
"00638R" TT,"347846",""
"00643" TT,"389733",""
"00639" TT,"862134",""
"00645" TT,"237581",""
"00640L" TT,"3427305",""
"00646" TT,"110135",""
"00641R" TT,"790100",""
"00647L" TT,"68500",""
"00642U" TT,"5601932",""
"00648R" TT,"714583",""
"00643" TT,"389733",""
"00649" TT,"146886",""
"00645" TT,"237581",""
"00646" TT,"110135",""
"00650L" TT,"201060",""
"00647L" TT,"68500",""
"00651R" TT,"122780",""
"00648R" TT,"714583",""
"00652" TT,"647886",""
"00649" TT,"146886",""
"00653L" TT,"644031",""
"00650L" TT,"201060",""
"00654R" TT,"591036",""
"00651R" TT,"122780",""
"00655L" TT,"1809586",""
"00652" TT,"647886",""
"00656R" TT,"402227",""
"008201" TT,"2531",""
"00653L" TT,"644031",""
"1101" TT,"417195","13:27:30.63"
"00654R" TT,"591036",""
"1102" TT,"162571","13:27:50.69"
"00655L" TT,"1809586",""
"1103" TT,"122","09:51:51.45"
"00656R" TT,"402227",""
"1104" TT,"61485",""
"008201" TT,"2531",""
"1108" TT,"83715","13:25:00.47"
"1101" TT,"417195","13:27:30.63"
"1109" TT,"7257",""
"1102" TT,"162571","13:27:50.69"
"1110" TT,"8102","13:25:05.10"
"1103" TT,"122","09:51:51.45"
"1201" TT,"123097","13:27:17.18"
"1104" TT,"61485",""
"1108" TT,"83715","13:25:00.47"
"1203" TT,"382","10:20:36.50"
"1210" TT,"250571",""
"1109" TT,"7257",""
"1213" TT,"17380",""
"1110" TT,"8102","13:25:05.10"
"1215" TT,"486514","13:24:59.32"
"1201" TT,"123097","13:27:17.18"
"1216" TT,"1327547","13:28:00.69"
"1203" TT,"382","10:20:36.50"
"1217" TT,"142411","13:23:13.75"
"1210" TT,"250571",""
"1218" TT,"149189","13:24:00.85"
"1213" TT,"17380",""
"1219" TT,"9540","10:22:23.88"
"1215" TT,"486514","13:24:59.32"
"1220" TT,"12652",""
"1216" TT,"1327547","13:28:00.69"
"1225" TT,"22858",""
"1217" TT,"142411","13:23:13.75"
"1227" TT,"213129","13:28:31.10"
"1218" TT,"149189","13:24:00.85"
"1229" TT,"126119",""
"1219" TT,"9540","10:22:23.88"
"1231" TT,"14946",""
"1220" TT,"12652",""
"1232" TT,"22508",""
"1225" TT,"22858",""
"1233" TT,"6822",""
"1227" TT,"213129","13:28:31.10"
"1234" TT,"418","10:20:08.54"
"1229" TT,"126119",""
"1235" TT,"16222",""
"1231" TT,"14946",""
"1236" TT,"2733",""
"1232" TT,"22508",""
"1258" TT,"42659",""
"1233" TT,"6822",""
"1259" TT,"3551",""
"1234" TT,"418","10:20:08.54"
"1262" TT,"150213","12:24:39.71"
"1235" TT,"16222",""
"1264" TT,"11576",""
"1236" TT,"2733",""
"1258" TT,"42659",""
"1301" TT,"1293725","13:24:59.33"
"1259" TT,"3551",""
"1303" TT,"885061","13:28:40.87"
"1262" TT,"150213","12:24:39.71"
"1304" TT,"305231","13:25:05.63"
"1264" TT,"11576",""
"1305" TT,"622310","13:25:00.49"
"1301" TT,"1293725","13:24:59.33"
"1307" TT,"84135","13:25:00.49"
"1303" TT,"885061","13:28:40.87"
"1308" TT,"68837","13:25:21.87"
"1304" TT,"305231","13:25:05.63"
"1309" TT,"46402","13:25:00.49"
"1305" TT,"622310","13:25:00.49"
"1310" TT,"1436967",""
"1307" TT,"84135","13:25:00.49"
"1312" TT,"1149451","13:25:00.50"
"1308" TT,"68837","13:25:21.87"
"1313" TT,"126379","13:25:00.51"
"1309" TT,"46402","13:25:00.49"
"1314" TT,"718","13:25:44.83"
"1310" TT,"1436967",""
"1315" TT,"58725",""
"1312" TT,"1149451","13:25:00.50"
"1316" TT,"69899",""
"1313" TT,"126379","13:25:00.51"
"1319" TT,"1000485","13:25:00.51"
"1314" TT,"718","13:25:44.83"
"1321" TT,"2668","09:48:20.08"
"1315" TT,"58725",""
"1323" TT,"186306","09:40:04.41"
"1316" TT,"69899",""
"1324" TT,"5756",""
"1319" TT,"1000485","13:25:00.51"
"1325" TT,"13390",""
"1326" TT,"1151583","13:25:59.55"
"1333" TT,"25841",""
"1336" TT,"9075",""
"1337" TT,"498506","13:24:59.36"
"1338" TT,"163661","10:33:00.66"
