"證券代號 TT","可借券賣出股數"
"證券代號 TT","可借券賣出股數"
"0050 TT","3,055,081"
"006201 TT","6,919"
"0051 TT","6,273"
"1258 TT","78,666"
"0052 TT","1,386"
"1259 TT","2,423"
"0053 TT","2,813"
"1264 TT","18,705"
"0054 TT","1,827"
"1336 TT","8,308"
"0055 TT","74,681"
"1565 TT","63,257"
"0056 TT","312,954"
"1566 TT","215,416"
"0057 TT","2,106"
"1569 TT","21,967"
"0058 TT","726"
"1570 TT","63,220"
"0059 TT","513"
"1580 TT","126,747"
"0061 TT","1,745,914"
"1584 TT","323,369"
"006203 TT","733"
"1586 TT","111,532"
"006204 TT","1,306"
"1593 TT","7,910"
"006205 TT","1,959,847"
"1595 TT","8,149"
"006206 TT","570,587"
"1597 TT","102,818"
"006207 TT","702,884"
"1599 TT","341,708"
"006208 TT","406"
"1742 TT","106,879"
"00631L TT","1,215,480"
"1752 TT","135,929"
"00632R TT","15,646,111"
"1777 TT","59,287"
"00633L TT","20,470,088"
"1781 TT","21,124"
"00634R TT","1,354,023"
"1784 TT","44,644"
"00635U TT","159,330"
"1785 TT","390,878"
"00636 TT","406,853"
"1787 TT","42,924"
"00637L TT","28,341,358"
"1788 TT","8,606"
"00638R TT","374,648"
"1795 TT","192,031"
"00639 TT","1,020,024"
"1799 TT","35,636"
"00640L TT","2,839,420"
"1813 TT","18,028"
"00641R TT","502,560"
"1815 TT","526,676"
"00642U TT","6,171,455"
"2035 TT","1,345"
"00643 TT","398,897"
"2061 TT","25,365"
"00645 TT","226,600"
"2063 TT","4,792"
"00646 TT","107,240"
"2064 TT","13,807"
"00647L TT","106,553"
"2066 TT","41,804"
"00648R TT","523,056"
"2221 TT","34,972"
"00649 TT","241,806"
"2230 TT","54,800"
"00650L TT","209,886"
"2233 TT","268,393"
"00651R TT","124,413"
"2235 TT","13,058"
"00652 TT","793,726"
"2596 TT","4,680"
"00653L TT","754,641"
"2636 TT","107,960"
"00654R TT","811,350"
"2640 TT","9,014"
"00655L TT","1,881,136"
"2641 TT","32,505"
"00656R TT","527,778"
"2719 TT","10,344"
"008201 TT","3,193"
"2724 TT","14,557"
"1101 TT","1,678,246"
"2726 TT","2,175"
"1102 TT","843,020"
"2732 TT","12,570"
"1103 TT","47,185"
"2734 TT","4,436"
"1104 TT","55,758"
"2916 TT","8,699"
"1108 TT","88,325"
"2924 TT","4,564"
"1109 TT","11,112"
"2926 TT","11,832"
"1110 TT","7,769"
"3068 TT","22,239"
"1201 TT","372,751"
"3071 TT","37,431"
"1203 TT","16,605"
"3078 TT","618,048"
"1210 TT","377,989"
"3081 TT","162,501"
"1213 TT","18,779"
"3083 TT","86,195"
"1215 TT","427,487"
"3086 TT","242,511"
"1216 TT","2,069,815"
"3088 TT","80,991"
"1217 TT","293,824"
"3092 TT","111,981"
"1218 TT","392,523"
"3093 TT","2,655"
"1219 TT","14,068"
"3105 TT","1,564,116"
"1220 TT","15,794"
"3114 TT","7,638"
"1225 TT","31,203"
"3118 TT","9,294"
"1227 TT","286,209"
"3122 TT","214,309"
"1229 TT","139,042"
"3128 TT","13,684"
"1231 TT","24,459"
"3131 TT","103,659"
"1232 TT","24,989"
"3141 TT","889,933"
"1233 TT","8,388"
"3144 TT","23,253"
"1234 TT","15,537"
"3152 TT","125,881"
"1235 TT","40,072"
"3162 TT","3,311"
"1236 TT","2,457"
"3163 TT","645,658"
"1262 TT","142,788"
"3169 TT","36,548"
"1301 TT","1,296,687"
"3171 TT","9,250"
"1303 TT","1,300,110"
"3176 TT","109,533"
"1304 TT","402,714"
"3202 TT","279,162"
"1305 TT","670,712"
"3205 TT","81,697"
"1307 TT","97,830"
"3206 TT","27,671"
"1308 TT","149,140"
"3207 TT","4,429"
"1309 TT","109,834"
"3211 TT","87,314"
"1310 TT","1,580,561"
"3213 TT","12,558"
"1312 TT","1,333,151"
"3217 TT","20,247"
"1313 TT","239,037"
"3218 TT","46,197"
"1314 TT","1,311,676"
"3219 TT","2,856"
"1315 TT","51,505"
"3221 TT","637,795"
"1316 TT","86,380"
"3224 TT","66,927"
"1319 TT","1,161,410"
"3226 TT","8,700"
"1321 TT","18,256"
"3227 TT","456,568"
"1323 TT","178,928"
"3230 TT","16,942"
"1324 TT","9,568"
"3232 TT","33,817"
"1325 TT","21,260"
"3234 TT","991,353"
"1326 TT","1,190,081"
"3236 TT","166,130"
"1337 TT","801,796"
"3252 TT","23,671"
"1338 TT","186,802"
"3259 TT","37,951"
"1339 TT","134,847"
"3260 TT","234,852"
"1340 TT","104,707"
"3264 TT","421,177"
"1402 TT","1,578,847"
"3265 TT","125,431"
"1409 TT","175,539"
"3272 TT","82,784"
"1410 TT","5,344"
"3276 TT","23,958"
"1414 TT","57,622"
"3284 TT","93,845"
"1416 TT","88,793"
"3285 TT","43,961"
"1417 TT","182,673"
"3287 TT","17,691"
"1418 TT","7,189"
"3289 TT","435,826"
"1419 TT","6,294"
"3290 TT","72,494"
"1423 TT","20,312"
"3291 TT","41,297"
"1432 TT","166,691"
"3293 TT","760,303"
"1434 TT","217,500"
"3294 TT","51,255"
"1436 TT","2,594"
"3297 TT","8,957"
"1437 TT","40,824"
"3299 TT","339,669"
"1439 TT","27,575"
"3303 TT","152,272"
"1440 TT","152,166"
"3306 TT","7,339"
"1442 TT","32,337"
"3310 TT","121,187"
"1443 TT","3,478"
"3313 TT","26,852"
"1444 TT","364,950"
"3317 TT","61,144"
"1445 TT","65,230"
"3322 TT","61,239"
"1446 TT","14,558"
"3323 TT","48,276"
"1447 TT","230,406"
"3324 TT","1,250,361"
"1451 TT","51,892"
"3325 TT","78,208"
"1452 TT","349,900"
"3332 TT","840"
"1453 TT","14,201"
"3339 TT","34,743"
"1454 TT","46,727"
"3354 TT","19,698"
"1455 TT","692,348"
"3360 TT","574,460"
"1457 TT","609,899"
"3362 TT","6,982"
"1459 TT","143,194"
"3363 TT","70,238"
"1460 TT","297,419"
"3372 TT","72,203"
"1463 TT","114,010"
"3373 TT","178,995"
"1464 TT","543,846"
"3374 TT","483,068"
"1465 TT","8,786"
"3379 TT","7,392"
"1466 TT","21,638"
"3388 TT","5,490"
"1467 TT","107,824"
"3390 TT","33,407"
"1470 TT","2,147"
"3402 TT","183,529"
"1471 TT","111,164"
"3428 TT","326,679"
"1473 TT","374,774"
"3434 TT","5,605"
"1474 TT","76,075"
"3438 TT","81,380"
"1476 TT","361,218"
"3441 TT","18,040"
"1477 TT","356,365"
"3444 TT","11,176"
"1503 TT","12,532"
"3452 TT","212,887"
"1504 TT","602,053"
"3455 TT","278,429"
"1506 TT","76,350"
"3466 TT","2,536"
"1507 TT","167,686"
"3479 TT","292,487"
"1512 TT","127,710"
"3483 TT","202,357"
"1513 TT","237,667"
"3484 TT","209,761"
"1514 TT","87,720"
"3489 TT","12,943"
"1515 TT","52,978"
"3490 TT","328,932"
"1516 TT","49,707"
"3491 TT","191,460"
"1517 TT","49,408"
"3492 TT","273,664"
"1519 TT","126,128"
"3498 TT","225,345"
"1521 TT","48,876"
"3499 TT","176,103"
"1522 TT","412,108"
"3508 TT","219,173"
"1524 TT","247,400"
"3511 TT","165,798"
"1525 TT","118,242"
"3512 TT","15,787"
"1526 TT","35,892"
"3516 TT","11,789"
"1527 TT","384,581"
"3520 TT","291,077"
"1528 TT","225,902"
"3521 TT","46,076"
"1530 TT","10,552"
"3522 TT","47,581"
"1531 TT","42,757"
"3523 TT","99,987"
"1532 TT","442,714"
"3526 TT","230,652"
"1533 TT","555,478"
"3527 TT","48,265"
"1535 TT","11,900"
"3528 TT","39,245"
"1536 TT","929,793"
"3529 TT","59,877"
"1537 TT","71,847"
"3531 TT","4,209"
"1539 TT","174,762"
"3537 TT","77,325"
"1540 TT","45,792"
"3540 TT","209,757"
"1541 TT","176,684"
"3541 TT","33,122"
"1558 TT","29,502"
"3546 TT","63,234"
"1560 TT","45,940"
"3548 TT","267,811"
"1568 TT","529,928"
"3551 TT","24,780"
"1582 TT","152,728"
"3552 TT","300,748"
"1583 TT","6,626"
"3553 TT","55,508"
"1589 TT","172,885"
"3556 TT","110,623"
"1590 TT","193,226"
"3558 TT","85,325"
"1592 TT","119,124"
"3563 TT","13,149"
"1603 TT","48,479"
"3564 TT","38,285"
"1604 TT","180,908"
"3567 TT","73,176"
"1605 TT","1,763,470"
"3577 TT","9,456"
"1608 TT","73,690"
"3580 TT","91,305"
"1609 TT","76,327"
"3581 TT","84,515"
"1611 TT","484,358"
"3587 TT","116,843"
"1612 TT","25,590"
"3594 TT","158,694"
"1614 TT","25,861"
"3609 TT","10,204"
"1615 TT","6,916"
"3611 TT","33,166"
"1617 TT","6,374"
"3615 TT","103,293"
"1618 TT","122,128"
"3623 TT","46,924"
"1626 TT","9,228"
"3624 TT","162,147"
"1701 TT","98,427"
"3625 TT","23,339"
"1702 TT","152,920"
"3628 TT","14,853"
"1704 TT","1,451,874"
"3630 TT","49,668"
"1707 TT","186,157"
"3631 TT","6,579"
"1708 TT","185,964"
"3632 TT","449,127"
"1709 TT","259,673"
"3642 TT","99,843"
"1710 TT","322,141"
"3646 TT","10,087"
"1711 TT","191,876"
"3652 TT","3,765"
"1712 TT","174,384"
"3658 TT","129,124"
"1713 TT","12,749"
"3662 TT","1,322,127"
"1714 TT","364,544"
"3663 TT","15,783"
"1715 TT","152,826"
"3664 TT","134,389"
"1717 TT","103,987"
"3666 TT","186,149"
"1718 TT","772,759"
"3675 TT","13,950"
"1720 TT","121,019"
"3680 TT","87,213"
"1721 TT","122,989"
"3685 TT","70,670"
"1722 TT","516,129"
"3687 TT","81,749"
"1723 TT","81,816"
"3689 TT","73,046"
"1724 TT","40,990"
"3691 TT","149,776"
"1725 TT","4,778"
"3693 TT","42,754"
"1726 TT","16,263"
"3707 TT","621,193"
"1727 TT","10,615"
"4102 TT","49,893"
"1729 TT","84,024"
"4103 TT","14,682"
"1730 TT","48,130"
"4105 TT","559,932"
"1731 TT","405,856"
"4107 TT","118,271"
"1732 TT","61,454"
"4109 TT","48,573"
"1733 TT","41,046"
"4111 TT","30,660"
"1734 TT","175,017"
"4113 TT","139,470"
"1735 TT","124,385"
"4114 TT","93,977"
"1736 TT","54,788"
"4116 TT","61,685"
"1737 TT","136,663"
"4120 TT","59,063"
"1762 TT","68,211"
"4121 TT","81,178"
"1773 TT","18,452"
"4123 TT","257,138"
"1783 TT","71,639"
"4126 TT","126,855"
"1786 TT","95,814"
"4127 TT","54,450"
"1789 TT","328,228"
"4129 TT","195,865"
"1802 TT","851,947"
"4130 TT","342,139"
"1805 TT","23,320"
"4138 TT","28,108"
"1806 TT","60,670"
"4153 TT","82,709"
"1808 TT","137,131"
"4157 TT","239,330"
"1809 TT","62,087"
"4161 TT","121,743"
"1810 TT","170,977"
"4162 TT","290,951"
"1817 TT","55,143"
"4163 TT","209,188"
"1902 TT","107,320"
"4173 TT","108,399"
"1903 TT","14,932"
"4174 TT","262,270"
"1904 TT","109,688"
"4205 TT","5,539"
