"證券代號 TT","可借券賣出股數"
"0050 TT","1,892,649"
"006201 TT","9,829"
"0051 TT","5,379"
"1258 TT","42,659"
"0052 TT","1,400"
"1259 TT","3,551"
"0053 TT","2,540"
"1264 TT","11,576"
"0054 TT","1,594"
"1336 TT","9,075"
"0055 TT","47,683"
"1565 TT","57,185"
"0056 TT","306,849"
"1566 TT","129,405"
"0057 TT","2,413"
"1569 TT","14,166"
"0058 TT","600"
"1570 TT","41,563"
"0059 TT","254"
"1580 TT","80,596"
"0061 TT","1,519,506"
"1584 TT","159,750"
"006203 TT","393"
"1586 TT","61,425"
"006204 TT","1,013"
"1593 TT","6,813"
"006205 TT","1,624,563"
"1595 TT","4,717"
"006206 TT","452,651"
"1597 TT","94,929"
"006207 TT","631,786"
"1599 TT","284,971"
"006208 TT","486"
"1742 TT","48,483"
"00631L TT","1,403,165"
"1752 TT","99,392"
"00632R TT","15,056,384"
"1777 TT","38,581"
"00633L TT","17,406,748"
"1781 TT","17,642"
"00634R TT","1,163,688"
"1784 TT","28,299"
"00635U TT","108,098"
"1785 TT","247,305"
"00636 TT","302,853"
"1787 TT","40,139"
"00637L TT","24,045,515"
"1788 TT","7,598"
"00638R TT","347,846"
"1795 TT","173,379"
"00639 TT","862,134"
"1799 TT","16,442"
"00640L TT","3,427,305"
"1813 TT","12,556"
"00641R TT","790,100"
"1815 TT","322,702"
"00642U TT","5,601,932"
"2035 TT","1,267"
"00643 TT","389,733"
"2061 TT","16,850"
"00645 TT","237,581"
"2063 TT","3,169"
"00646 TT","110,135"
"2064 TT","3,908"
"00647L TT","68,500"
"2066 TT","96,068"
"00648R TT","714,583"
"2221 TT","24,941"
"00649 TT","146,886"
"2230 TT","62,171"
"00650L TT","201,060"
"2233 TT","264,112"
"00651R TT","122,780"
"2235 TT","13,058"
"00652 TT","647,886"
"2596 TT","4,638"
"00653L TT","644,031"
"2636 TT","82,450"
"00654R TT","591,036"
"2640 TT","7,818"
"00655L TT","1,809,586"
"2641 TT","29,942"
"00656R TT","402,227"
"2719 TT","9,098"
"008201 TT","2,531"
"2724 TT","9,207"
"1101 TT","1,533,195"
"2726 TT","3,677"
"1102 TT","782,571"
"2732 TT","9,594"
"1103 TT","40,122"
"2734 TT","3,112"
"1104 TT","61,485"
"2916 TT","8,685"
"1108 TT","86,715"
"2924 TT","1,850"
"1109 TT","7,257"
"2926 TT","12,433"
"1110 TT","8,102"
"3068 TT","39,548"
"1201 TT","217,097"
"3071 TT","28,931"
"1203 TT","17,382"
"3078 TT","716,191"
"1210 TT","250,571"
"3081 TT","181,128"
"1213 TT","17,380"
"3083 TT","40,766"
"1215 TT","488,514"
"3086 TT","357,866"
"1216 TT","2,012,547"
"3088 TT","42,328"
"1217 TT","206,411"
"3092 TT","104,381"
"1218 TT","160,189"
"3093 TT","2,652"
"1219 TT","9,540"
"3105 TT","1,668,188"
